曽鯉坪球,曽鯉誤,劾促,鯵昔,須厩昔,奄淫域,榎清燈切,左蝿,燈重,精楳,奄展榎清,尻奄榎,奄展狛昔,奄展須昔,紫乞呑球
A035720,朝朝神,20230221,390004,-82043,-210467,-54980,-20112,-49661,1300,1,9145,-99528,2034,-96160
A035720,朝朝神,20230220,-253801,105463,125937,137842,-6205,-15531,0,1,-63,22531,-130,9893
A035720,朝朝神,20230223,282737,34913,-209957,-69262,-39330,-66400,1832,-10978,79113,-108148,455,-104932
A035720,朝朝神,20230222,303749,149199,-330631,-150617,-15481,-59599,48,-10978,10951,-122954,637,-104955
A035720,朝朝神,20230224,192997,-214441,17382,-19805,-5843,4622,38,1881,25205,3705,357,11284
A035720,朝朝神,20230227,89961,23381,-111910,-139758,-14408,11804,2928,-7235,26861,1238,-2670,7898
A035720,朝朝神,20230228,-310259,-8484,270586,111668,-3367,40035,7,832,63398,48521,-364,58013
A035720,朝朝神,20230303,720540,-571808,-430106,-188336,-33465,-13426,418,68,-204428,276915,4459,9063
A035720,朝朝神,20230302,451554,-336715,-361970,-169789,-18941,-11799,366,1,-146635,245118,2013,-15173
A035720,朝朝神,20230307,-197726,214923,-1489,148591,-27386,31317,-105,-240,-114619,-14971,-737,-39047
A035720,朝朝神,20230306,-1138071,696776,460753,301209,-1630,77832,55,170,-34434,-16508,-2950,117551
A035720,朝朝神,20230309,1882831,-964900,-839642,-102250,-50623,-93071,4608,-886,-372659,-83589,5300,-224761
A035720,朝朝神,20230308,1370297,-447036,-810045,-317413,-47557,-85390,1389,-782,-191362,-117597,4381,-168930
A035720,朝朝神,20230310,457039,-187184,-285552,-95386,-4661,-1602,911,-905,-70726,13917,1780,-113183
A035720,朝朝神,20230313,206144,-118221,-71531,-149449,15766,51536,1296,9403,-77247,-17712,1320,77164
A035720,朝朝神,20230315,552708,-758460,198236,64992,-1922,33962,24,733,-17726,6237,1279,118173
A035720,朝朝神,20230314,206406,-292994,86076,13769,1148,27177,0,469,-16277,389,123,59790
A035720,朝朝神,20230317,-653380,343607,395834,34141,12427,62849,310,1110,68517,-84849,-1212,216480
A035720,朝朝神,20230316,-559002,317533,264274,4696,7201,49861,0,695,48940,-22625,-180,152881
A035720,朝朝神,20230321,-649029,132078,512278,251809,21851,67988,1290,16173,7967,7018,-2345,145200
A035720,朝朝神,20230320,-525099,52769,468430,225616,19427,70208,990,3453,41512,6617,-2717,107224
A035720,朝朝神,20230323,-634297,444640,307613,161310,14881,92682,1139,587,3152,-118771,815,33862
A035720,朝朝神,20230322,-806720,445314,452726,109947,22719,114478,1155,136,85117,-88882,-2438,119174
A035720,朝朝神,20230324,-68499,178441,-20092,-70076,-3610,9828,0,-6000,-2571,-89649,-201,52337
A035720,朝朝神,20230327,29376,102356,39716,108200,-8824,-26760,-42,-479,-26587,-171107,-341,-5792
A035720,朝朝神,20230329,132495,28491,-107158,189804,-9325,-41785,-1917,-12039,-139148,-52627,-1201,-92748
A035720,朝朝神,20230328,130628,-52749,-30856,120176,-117,-24301,-1645,-11440,-33202,-46312,-711,-80327
A035720,朝朝神,20230331,-237642,403444,-106622,111257,-33163,-98549,1344,-496,-54644,-58102,-1078,-32371
A035720,朝朝神,20230330,221133,14212,-175786,15132,-43793,-90361,756,1,-41430,-59994,435,-16091
A035720,朝朝神,20230404,99753,212599,-318236,-138471,-13436,-29506,8,-239,-10740,4968,916,-125852
A035720,朝朝神,20230403,292146,25230,-319172,-200731,-7513,-16307,0,-240,-61074,390,1406,-33307
A035720,朝朝神,20230406,1188413,-341516,-876142,-119115,-21133,-143724,8,-7631,-397029,25317,3928,-187518
A035720,朝朝神,20230405,-94876,196415,-108419,104541,-5761,-52024,-1,-2,-96502,6941,-61,-58670
A035720,朝朝神,20230407,415746,-196581,-225143,-6871,-15586,-45053,0,-296,-43111,3712,2266,-114226
A035720,朝朝神,20230410,-128199,106304,2782,98014,-36558,-23125,-14,-1583,-16460,18326,787,-17492
A035720,朝朝神,20230412,-262644,90347,222695,425985,-26035,5392,-3370,-1062,-121723,-50915,517,-56492
A035720,朝朝神,20230411,-409241,49457,375401,405243,-1828,7811,-3500,704,-36885,-15076,-541,3856
A035720,朝朝神,20230414,-1004560,389486,518584,372023,14630,-7561,291,642,28977,100102,-3612,109582
A035720,朝朝神,20230413,-240973,-81008,330781,290129,-820,1526,0,-171,-4987,-7859,-941,45104
A035720,朝朝神,20230418,561063,-20049,-547172,-442785,-16409,-1132,-1971,-804,-41938,3947,2211,-42133
A035720,朝朝神,20230417,129360,11600,-148354,-162420,-721,13236,-1052,1319,11254,6167,1227,-9970
A035720,朝朝神,20230420,438828,-292995,-134755,22152,-7231,-92939,-686,-2505,-43863,-13634,2556,-9683
A035720,朝朝神,20230419,207181,-80589,-114169,3791,-1956,-80283,-323,-2506,-17288,-13917,1494,-15604
A035720,朝朝神,20230421,-22229,-7482,30203,74247,1975,-22445,0,2,-19839,-2365,1873,-3737
A035720,朝朝神,20230424,47491,-52336,6242,69436,-51054,-11747,1482,0,-7709,-2137,740,5834
A035720,朝朝神,20230426,318244,127961,-334069,-11342,-149162,-35240,2380,-487,-60363,-113229,1093,-79855
A035720,朝朝神,20230425,281566,-27885,-144489,-32531,-67179,-7532,1782,-579,-10479,-110790,1598,-27971
A035720,朝朝神,20230428,-891157,391760,507722,480032,-43483,59033,-3160,-554,51152,-6196,-2129,-35298
A035720,朝朝神,20230427,248464,91656,-343748,-160390,-58911,-3083,-1632,-607,-76748,3318,310,-42377
A035720,朝朝神,20230502,-213298,50784,158749,74718,-2381,72882,1000,1170,-21564,4433,-668,32924
A035720,朝朝神,20230504,514648,-14183,-491273,-230094,-16163,-47303,-879,5269,-238745,-10306,1114,36642
A035720,朝朝神,20230503,10200,-39178,43292,-21264,13904,3578,-409,5986,12738,-14237,-77,28759
A035720,朝朝神,20230508,-25441,-100198,119980,265521,-7141,-34413,-637,4289,-81425,3953,1706,-26214
A035720,朝朝神,20230510,543068,-137953,-406514,-11314,-32698,-31836,-228,-8280,-304586,1452,-53,-17572
A035720,朝朝神,20230509,173608,-18461,-153015,50719,-17753,-6781,-290,-698,-194590,-1647,-485,16378
A035720,朝朝神,20230512,-47482,141044,-95650,-50917,-7618,-21674,-2270,0,-49584,1260,828,36413
A035720,朝朝神,20230511,186658,-70377,-119228,-22208,-20425,-8947,-1270,0,-70597,1707,1240,4219
A035720,朝朝神,20230516,157585,-61794,-108707,31240,8365,-39710,-17,-33168,-62343,8264,4652,-13074
A035720,朝朝神,20230515,-47246,64629,-22052,23201,3874,-14655,-52,1,-16903,2831,1838,-17518
A035720,朝朝神,20230518,-427489,-156226,582180,492040,12536,-19613,-595,-1,32906,422,1113,64907
A035720,朝朝神,20230517,-780718,113823,676450,537449,7388,-19090,-435,-2,95129,-7030,-2525,56011
A035720,朝朝神,20230519,-359258,132387,236997,223911,4561,9466,-80,-1,-19548,-10414,288,18688
A035720,朝朝神,20230522,-56043,-68467,129509,149191,15869,-5648,34,-604,-30266,1215,-6214,933
A035720,朝朝神,20230524,354503,-279519,-89666,61168,-22961,-47015,-230,-161,-71837,5397,9285,-8630
A035720,朝朝神,20230523,-132648,21119,109007,119667,-7607,-21128,0,0,13240,87,2435,4835
