辆格内靛,辆格疙,朝楼,俺牢,寇惫牢,扁包拌,陛蓝捧磊,焊氰,捧脚,篮青,扁鸥陛蓝,楷扁陛,扁鸥过牢,扁鸥寇牢,荤葛戚靛
A328130,风粗,20221028,59409,-5338,-52015,-5643,-626,-43384,0,68,-195,-1228,-828,-2235
A328130,风粗,20221027,-16986,1416,15507,-2451,749,1252,0,69,-195,0,63,16083
A328130,风粗,20221101,14652,-27634,-5098,-357,-340,-214,0,0,-18331,20246,-2166,14144
A328130,风粗,20221031,24935,-19172,-11888,67,0,-801,0,0,-18331,8246,-2121,7177
A328130,风粗,20221103,-13373,-3215,10976,4151,-258,5501,0,0,0,5785,-173,1582
A328130,风粗,20221102,-20989,3557,11787,192,0,11145,0,0,0,5673,-28,450
A328130,风粗,20221104,-11827,4335,4993,314,0,0,0,0,0,2499,0,4679
A328130,风粗,20221107,5269,-4411,-1703,-207,-424,0,0,0,0,496,349,-1072
A328130,风粗,20221109,-20120,7478,12220,230,-540,1529,0,0,0,792,-370,11001
A328130,风粗,20221108,-20041,11286,8348,92,-388,701,0,0,0,692,-285,7943
A328130,风粗,20221111,-5387,6761,-1334,366,-285,0,0,0,0,-72,32,-1415
A328130,风粗,20221110,8372,-7131,-1241,174,0,0,0,0,0,0,0,-1415
A328130,风粗,20221115,-28750,20509,7630,1480,0,4460,0,0,0,490,121,1690
A328130,风粗,20221114,-43662,25650,15825,719,0,4003,0,0,0,1609,578,11103
A328130,风粗,20221117,22473,-531,-13224,-5035,-58,3189,0,0,-8188,-8274,-444,-3132
A328130,风粗,20221116,15313,-12135,1858,145,0,993,0,0,0,-5100,64,720
A328130,风粗,20221118,15153,-16999,3005,2923,-90,172,0,0,0,-1676,517,0
A328130,风粗,20221121,8334,-8174,-205,76,-98,-183,0,0,0,0,45,0
A328130,风粗,20221123,-8751,6025,2857,-1298,0,0,0,0,-430,0,-131,4585
A328130,风粗,20221122,815,300,-1082,-1082,0,0,0,0,0,0,-33,0
A328130,风粗,20221125,-5308,-12079,26547,4640,1341,11911,0,-3441,-348,-9171,11,12444
A328130,风粗,20221124,-7150,-1812,15595,2245,1526,12882,0,-3441,-196,-6675,42,2579
A328130,风粗,20221129,5092,-1464,-3313,111,-239,-1360,0,0,-598,173,-488,-1227
A328130,风粗,20221128,5200,-3866,-3481,-142,-239,-1360,0,0,-169,2635,-488,-1571
A328130,风粗,20221201,8240,1302,-150,-37,0,0,0,0,-113,-9371,-21,0
A328130,风粗,20221130,-819,879,-42,-42,0,0,0,0,0,0,-18,0
A328130,风粗,20221202,-10058,7704,2333,-17,0,0,0,0,0,-129,150,2350
A328130,风粗,20221205,7490,-7403,-98,237,0,0,0,0,-334,0,11,-1
A328130,风粗,20221207,-5957,-857,5530,6406,0,0,0,0,0,1276,8,-876
A328130,风粗,20221206,-1194,-698,746,1622,0,0,0,0,0,1150,-4,-876
A328130,风粗,20221209,13009,10324,-4841,-2962,23,2895,0,-3441,-135,-18441,-51,-1221
A328130,风粗,20221208,15822,7300,-6778,-1759,0,-257,0,-3441,0,-16291,-53,-1321
A328130,风粗,20221213,15501,4357,72,-7727,0,592,0,-3441,-144,-19929,-1,10792
A328130,风粗,20221212,1060,-2544,1485,1637,0,-8,0,0,-144,0,-1,0
A328130,风粗,20221215,-48631,40855,20524,-18085,-219,15985,0,-3441,-17405,-12625,-123,43689
A328130,风粗,20221214,-15414,6479,8788,-17728,0,18178,0,0,-77,198,-51,8415
A328130,风粗,20221216,19660,-14295,645,247,0,-916,0,0,0,-6000,-10,1314
A328130,风粗,20221219,5597,-3875,16712,559,2727,3275,0,-3441,-291,-18424,-10,13883
A328130,风粗,20221221,18778,-9993,11434,521,-71,6978,0,-3240,-111,-20261,42,7357
A328130,风粗,20221220,19581,-13410,7051,593,-71,1671,0,-3440,0,-13258,36,8298
A328130,风粗,20221223,54399,-10179,8478,1376,405,9636,1631,-10133,1000,-54853,2155,4563
A328130,风粗,20221222,15826,19948,-366,336,0,4493,0,-6832,0,-37297,1889,1637
A328130,风粗,20221227,-10454,7897,858,-642,549,281,0,0,0,2448,-749,670
A328130,风粗,20221226,1015,-1056,36,-1128,451,91,0,0,0,-5,10,622
A328130,风粗,20221229,-17686,-4268,22715,-647,745,21049,0,0,-967,808,-1569,2535
A328130,风粗,20221228,-31286,9366,23153,-250,137,19527,0,0,-707,508,-1741,4446
A328130,风粗,20230102,6018,-6182,149,-1904,-983,2646,0,0,0,-1,16,390
A328130,风粗,20230104,-14922,24573,-7302,22922,2642,-16045,0,-101,-13495,-4685,2336,-3225
A328130,风粗,20230103,-20595,44090,-17703,11092,1822,-13730,0,-100,-12456,-7328,1536,-4331
A328130,风粗,20230106,52906,-5154,-41406,12462,638,-36156,0,0,-5959,-6437,91,-12391
A328130,风粗,20230105,37173,-11249,-26559,2756,0,-28538,0,0,-355,382,253,-422
A328130,风粗,20230110,85863,-12319,-52681,-7308,-863,132,0,-3437,1459,-20828,-35,-42664
A328130,风粗,20230109,69248,-15393,-34654,-6104,-955,3810,0,-3437,1459,-19543,342,-29427
A328130,风粗,20230112,-13273,-1383,12403,-697,0,223,0,0,0,2100,153,12877
A328130,风粗,20230111,-17882,3446,12936,982,0,1349,0,0,0,1350,150,10605
A328130,风粗,20230113,12149,-7555,-5186,251,-875,-4562,0,0,0,600,-8,0
A328130,风粗,20230116,-8142,22495,-16729,-9762,1565,-13756,0,-50,-6159,2371,5,11433
A328130,风粗,20230118,21692,27613,-46013,599,-438,-38742,0,180,-4762,-4562,1270,-2850
A328130,风粗,20230117,15773,-13744,-3277,1865,314,-5456,0,0,0,421,827,0
A328130,风粗,20230120,97633,-50163,-48109,4333,-23449,-16390,0,0,-698,-866,1505,-11905
A328130,风粗,20230119,58422,-48772,-11348,606,-8390,-527,0,0,0,2184,-486,-3037
A328130,风粗,20230126,141402,23753,-170238,-35370,-1932,-80688,0,240,-1669,3117,1966,-50819
A328130,风粗,20230125,16722,39956,-61553,-12891,-1932,-10608,0,-20,-1669,2649,2226,-34433
A328130,风粗,20230127,22774,7340,-27366,-7217,161,-15845,0,70,-2635,-335,-2413,-1900
A328130,风粗,20230130,87184,-19258,-51029,-497,552,-35540,0,104,1206,-19704,2807,-16854
A328130,风粗,20230201,225886,-9145,-105586,81777,3312,-52690,0,-99940,-1684,-113666,2511,-36361
A328130,风粗,20230131,27825,-9017,-17671,102477,0,-11053,0,-99940,0,-2647,1510,-9155
A328130,风粗,20230203,167879,-8444,-102791,-12372,-1711,-32865,0,1,0,-52556,-4088,-55844
A328130,风粗,20230202,123599,-8798,-63831,-3322,-1285,-16357,0,1,0,-50806,-164,-42868
A328130,风粗,20230207,61715,22958,-38585,-16092,0,-3824,611,-1,2306,-47172,1084,-21585
A328130,风粗,20230206,35605,6742,-33829,-5452,0,-5579,0,0,0,-9959,1441,-22798
A328130,风粗,20230209,51924,93556,-1927,-14052,4572,13322,423,0,-4293,-143306,-247,-1899
A328130,风粗,20230208,12174,42065,4579,-3890,0,7378,423,0,0,-58493,-325,668
A328130,风粗,20230210,77731,-100105,26657,6800,6265,5748,0,1,3436,-4787,504,4407
A328130,风粗,20230213,15407,12321,4651,6021,2862,557,0,-1,5712,-32387,8,-10500
A328130,风粗,20230215,73087,3898,24832,7430,1093,6212,366,1,5617,-102174,357,4113
A328130,风粗,20230214,50589,4334,23027,6685,1093,6212,366,0,5617,-80359,2409,3054
A328130,风粗,20230217,21585,2115,-10189,-13495,427,2487,0,-894,-1021,-13706,195,2307
A328130,风粗,20230216,9256,-3882,-3299,-1778,0,0,0,0,-1021,-2094,19,-500
A328130,风粗,20230221,13825,-27165,7768,3171,0,-649,0,0,769,6325,-753,4477
A328130,风粗,20230220,-6404,-3252,6017,3980,0,-649,0,0,769,3156,483,1917
A328130,风粗,20230223,-24849,117215,12449,-9714,-17059,-561,113,0,43214,-103152,-1663,-3544
A328130,风粗,20230222,-9817,18251,-7942,-3299,-7643,0,0,1,2940,-425,-67,59
A328130,风粗,20230224,171279,121804,-16085,-490,-2379,1593,253,-34374,3261,-275154,-1844,16051
A328130,风粗,20230227,-52841,-29995,84017,119,2337,35682,0,0,19319,-3362,2181,26560
