¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ,ø‹±π¿Œ,±‚∞¸∞Ë,±›¿∂≈ı¿⁄,∫∏«Ë,≈ıΩ≈,¿∫«‡,±‚≈∏±›¿∂,ø¨±‚±›,±‚≈∏π˝¿Œ,±‚≈∏ø‹¿Œ,ªÁ∏∆›µÂ
A239340,¡‹¿Œ≈Õ≥›,20220914,-58299,58394,0,0,0,0,0,0,0,1,-96,0
A239340,¡‹¿Œ≈Õ≥›,20220913,-44897,44894,0,0,0,0,0,0,0,1,2,0
A239340,¡‹¿Œ≈Õ≥›,20220916,18228,-19555,0,0,0,0,0,0,0,998,329,0
A239340,¡‹¿Œ≈Õ≥›,20220915,6278,-6175,0,0,0,0,0,0,0,0,-103,0
A239340,¡‹¿Œ≈Õ≥›,20220920,-8811,8852,0,0,0,0,0,0,0,-34,-7,0
A239340,¡‹¿Œ≈Õ≥›,20220919,17211,-17204,0,0,0,0,0,0,0,0,-7,0
A239340,¡‹¿Œ≈Õ≥›,20220922,-9657,9664,0,0,0,0,0,0,0,0,-7,0
A239340,¡‹¿Œ≈Õ≥›,20220921,-10609,10609,0,0,0,0,0,0,0,0,0,0
A239340,¡‹¿Œ≈Õ≥›,20220923,-5155,5155,0,0,0,0,0,0,0,0,0,0
A239340,¡‹¿Œ≈Õ≥›,20220926,-20215,20215,0,0,0,0,0,0,0,0,0,0
A239340,¡‹¿Œ≈Õ≥›,20220928,-63231,64138,1,1,0,0,0,0,0,-908,0,0
A239340,¡‹¿Œ≈Õ≥›,20220927,-48629,48629,0,0,0,0,0,0,0,0,0,0
A239340,¡‹¿Œ≈Õ≥›,20220930,-65498,65548,-1,-1,0,0,0,0,0,-49,0,0
A239340,¡‹¿Œ≈Õ≥›,20220929,-50742,50791,0,0,0,0,0,0,0,-49,0,0
A239340,¡‹¿Œ≈Õ≥›,20221004,-27644,27640,0,0,0,0,0,0,0,0,4,0
A239340,¡‹¿Œ≈Õ≥›,20221006,8016,-8016,0,0,0,0,0,0,0,0,0,0
A239340,¡‹¿Œ≈Õ≥›,20221005,42785,-42785,0,0,0,0,0,0,0,0,0,0
A239340,¡‹¿Œ≈Õ≥›,20221007,11375,-12075,0,0,0,0,0,0,0,0,700,0
A239340,¡‹¿Œ≈Õ≥›,20221012,42048,-41864,0,0,0,0,0,0,0,0,-184,0
A239340,¡‹¿Œ≈Õ≥›,20221011,65402,-65218,0,0,0,0,0,0,0,0,-184,0
A239340,¡‹¿Œ≈Õ≥›,20221014,-50209,50109,0,0,0,0,0,0,0,1,99,0
A239340,¡‹¿Œ≈Õ≥›,20221013,36812,-36911,0,0,0,0,0,0,0,0,99,0
A239340,¡‹¿Œ≈Õ≥›,20221018,315827,-340863,20617,352,0,20265,0,0,0,4401,18,0
A239340,¡‹¿Œ≈Õ≥›,20221017,343492,-346951,0,0,0,0,0,0,0,2202,1257,0
A239340,¡‹¿Œ≈Õ≥›,20221020,81054,-59840,-20617,-352,0,-20265,0,0,0,-1467,870,0
A239340,¡‹¿Œ≈Õ≥›,20221019,65356,-43959,-20617,-352,0,-20265,0,0,0,-1467,687,0
A239340,¡‹¿Œ≈Õ≥›,20221021,-56774,58608,0,0,0,0,0,0,0,-2934,1100,0
A239340,¡‹¿Œ≈Õ≥›,20221024,-15707,15693,0,0,0,0,0,0,0,0,14,0
A239340,¡‹¿Œ≈Õ≥›,20221026,52194,-56171,0,0,0,0,0,0,0,3202,775,0
