종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A000660,SK하이닉스,20230109,-1338565,899125,446630,99694,88464,68257,2313,4053,92030,-3178,-4012,91819
A000660,SK하이닉스,20230112,-472163,1886295,-1372348,-665705,-55385,-125115,-11256,-3009,-184972,-42150,366,-326906
A000660,SK하이닉스,20230111,-420680,836271,-398250,-180098,-28,-26853,-426,-3143,-86814,-17378,37,-100888
A000660,SK하이닉스,20230113,-1975,257563,-248501,-24355,-34661,-56581,8984,-10680,-49374,-7105,18,-81834
A000660,SK하이닉스,20230116,-111770,63982,58986,177440,-22320,-21200,0,-1,-44064,-10278,-920,-30869
A000660,SK하이닉스,20230118,-35982,198497,-153623,36819,-46469,-177,-1040,-97,-52802,-8249,-643,-89857
A000660,SK하이닉스,20230117,-140709,138525,7861,-43027,-23175,97810,-1634,1,-24052,-6144,467,1938
A000660,SK하이닉스,20230120,-715241,919315,-212139,-145439,9846,36948,-1565,2169,-247645,9448,-1383,133547
A000660,SK하이닉스,20230119,-55435,200466,-144781,-28578,-1387,23416,938,-199,-165657,-348,98,26686
A000660,SK하이닉스,20230126,-1721592,1757667,-60258,-252013,16698,29505,-4046,-710,192187,48692,-24509,-41879
A000660,SK하이닉스,20230125,-1296073,1315314,-24583,-242587,15839,15653,-830,-109,100070,8882,-3540,87381
A000660,SK하이닉스,20230127,-20739,-178226,197379,147353,-21384,-57279,12488,-9391,17082,202,1384,108510
A000660,SK하이닉스,20230130,-131437,424535,-268340,-151774,-32947,-71482,-3340,0,246252,-24317,-441,-255049
A000660,SK하이닉스,20230201,-389533,467257,-51677,148433,11314,-107519,-3926,2217,107243,-19744,-6303,-209439
A000660,SK하이닉스,20230131,261863,-316219,80087,239257,-34512,-164054,-3013,-875,64876,-24697,-1034,-21592
A000660,SK하이닉스,20230203,-784240,1478803,-661847,-337971,28041,-24181,-1690,6965,64951,-23422,-9294,-397962
A000660,SK하이닉스,20230202,-960521,1241576,-251092,-267181,26316,46432,6074,6965,67360,-20601,-9362,-137058
A000660,SK하이닉스,20230207,283814,302971,-576461,-382090,-51555,7972,1106,2204,-44498,-9790,-534,-109600
A000660,SK하이닉스,20230206,595620,-199645,-408050,-226344,-42276,-13317,1000,1,-38351,11526,549,-88763
A000660,SK하이닉스,20230209,-1649692,1930553,-262426,-16285,2502,1693,-7004,-442,-24781,-15139,-3296,-218109
A000660,SK하이닉스,20230208,-1768823,1947190,-155903,-50170,7279,8310,-7879,94,-48339,-18918,-3546,-65198
A000660,SK하이닉스,20230210,-7129,447440,-437517,-364409,-6154,30084,-2483,453,20478,-2267,-527,-115486
A000660,SK하이닉스,20230213,1082338,-1147928,66518,134610,-9017,-50633,763,-6647,24905,-2815,1887,-27463
A000660,SK하이닉스,20230215,-343372,56886,308794,-148956,3294,72102,5510,-110,177497,-22054,-254,199457
A000660,SK하이닉스,20230214,-622583,215902,415433,131786,-8823,43466,4963,0,71519,-7785,-967,172522
A000660,SK하이닉스,20230217,-208361,36833,242871,155056,-2300,-50020,4140,-530,18822,-71584,241,117703
A000660,SK하이닉스,20230216,-202948,-340376,617859,444450,-1365,-16675,2000,-99,87464,-74457,-78,102084
A000660,SK하이닉스,20230221,304967,-327662,20000,-54167,-685,-1040,-19754,-436,66472,3468,-773,29610
A000660,SK하이닉스,20230220,-100401,-69637,171642,89248,-404,-2172,-2000,-437,60234,-803,-801,27173
A000660,SK하이닉스,20230223,-264892,710835,-448077,-141007,-34130,-40326,-6392,388,-116405,-222,2356,-110205
A000660,SK하이닉스,20230222,671424,41864,-703029,-192292,-31148,-42397,4116,-40,-121649,-11562,1303,-319619
A000660,SK하이닉스,20230224,27788,-2810,-18084,-205827,-10192,70335,2388,3159,47345,-8204,1310,74708
A000660,SK하이닉스,20230227,561141,-256102,-308681,-246274,-8516,15670,17936,2880,-68560,1778,1864,-21817
A000660,SK하이닉스,20230228,420368,-714761,291628,164466,-9157,44355,531,1594,19059,1888,877,70780
A000660,SK하이닉스,20230303,872753,-504736,-492203,-70300,-47670,-104180,14518,271,-299108,120711,3475,14266
A000660,SK하이닉스,20230302,471153,-225898,-246683,-141693,-22658,-48962,12512,95,-107787,-97,1525,61810
A000660,SK하이닉스,20230307,-741478,541121,217487,211128,64389,112910,7598,1867,-51814,-14975,-2155,-128591
A000660,SK하이닉스,20230306,-683382,320331,380289,343774,55765,94037,4467,1489,-45777,-15854,-1384,-73466
A000660,SK하이닉스,20230309,1455524,-1318289,-119555,85903,-13124,-48229,15898,3540,-91940,-18865,1185,-71603
A000660,SK하이닉스,20230308,902516,-352551,-535046,-398717,-13034,-53615,800,3539,-33503,-17350,2431,-40516
A000660,SK하이닉스,20230310,624550,-739992,118918,-40393,-16551,22350,3792,2,21160,-3946,470,128558
A000660,SK하이닉스,20230313,104678,-116436,90384,111805,35799,-34570,-1128,1471,91749,-77335,-1291,-114742
A000660,SK하이닉스,20230315,2287969,-2098036,-183760,263581,-46818,-132997,48180,6142,-148495,-12191,6018,-173353
A000660,SK하이닉스,20230314,820301,-703467,-92766,124889,-14658,-79699,9604,5358,-34326,-26015,1947,-103934
A000660,SK하이닉스,20230317,-841742,-1430661,2201268,234492,208041,479315,-33840,5899,612306,69382,1753,695055
A000660,SK하이닉스,20230316,502657,-1111993,595173,83788,33123,190022,-26840,724,80666,11805,2358,233690
A000660,SK하이닉스,20230321,-90148,-514245,612489,70844,29819,203538,-2969,-3265,163287,-8543,447,151235
A000660,SK하이닉스,20230320,-75905,-261086,343395,30400,14231,106746,59,-3265,92719,-6768,364,102505
A000660,SK하이닉스,20230323,-1320498,185004,1144584,341026,57078,258396,-4755,11851,70796,-4547,-4543,410192
A000660,SK하이닉스,20230322,-727842,389364,345975,74400,7634,97497,-3296,909,33213,-5904,-1593,135618
A000660,SK하이닉스,20230324,315529,-650758,315758,79821,46836,38074,4818,232,182034,18540,931,-36057
A000660,SK하이닉스,20230327,426142,-372493,-31812,191967,19023,-28201,4516,2,58786,-21649,-188,-277905
A000660,SK하이닉스,20230329,-237244,-695308,929486,225841,9706,50544,8827,1277,42773,2976,90,590518
A000660,SK하이닉스,20230328,-636771,-12785,642458,217480,587,64015,-983,1044,-69261,5538,1560,429576
A000660,SK하이닉스,20230331,-94466,-43572,129541,21721,-9674,6543,5106,6640,274599,7116,1381,-175394
A000660,SK하이닉스,20230330,-438104,-91516,519533,10232,23577,98979,-3350,6640,263240,9491,596,120215
A000660,SK하이닉스,20230404,2170420,-3097923,917413,441397,51711,155064,10291,35072,141623,6610,3480,82255
A000660,SK하이닉스,20230403,596178,-224498,-370636,-189258,-2667,-47645,6149,-9874,19292,-1849,805,-146633
A000660,SK하이닉스,20230406,741013,-1357272,607523,-77597,-54592,72970,4908,-299,-267965,7502,1234,930098
A000660,SK하이닉스,20230405,-126948,-297161,433598,161779,-44830,31449,1158,-1000,-141605,-9455,-34,426647
A000660,SK하이닉스,20230407,-2337756,123037,2157690,528106,235264,436656,19940,14299,377606,61039,-4010,545819
A000660,SK하이닉스,20230410,-1357612,876916,519317,-167509,98903,194542,-2011,2412,274560,-38882,261,118420
A000660,SK하이닉스,20230412,-388296,-50873,425234,-238261,34868,60101,2560,-4520,468419,18498,-4563,102067
A000660,SK하이닉스,20230411,-656792,294650,382044,-112875,36356,70409,-1995,-4854,318035,-14866,-5036,76968
A000660,SK하이닉스,20230414,-47561,-427577,432767,130418,3868,-24454,1790,-5126,10015,39757,2614,316256
A000660,SK하이닉스,20230413,336150,-697915,351434,159629,16192,-27554,4702,502,44679,10456,-125,153284
A000660,SK하이닉스,20230418,303162,-3175,-290667,-300910,-7399,-79479,-5710,142,-60997,-9601,281,163686
A000660,SK하이닉스,20230417,59353,17477,-81627,-95479,-6322,6061,-4222,280,-11843,4689,108,29898
A000660,SK하이닉스,20230420,449,-306337,305858,37588,21409,-70773,6805,-1489,81105,-43,73,231213
A000660,SK하이닉스,20230419,39837,-219346,181138,10091,8779,-61649,5800,-4,51398,-2253,624,166723
A000660,SK하이닉스,20230421,-627499,10991,627195,75980,57633,70583,3990,14045,140872,-7881,-2806,264092
A000660,SK하이닉스,20230424,259903,-532671,261815,132215,-5039,-45923,5161,-273,93202,10857,96,82472
A000660,SK하이닉스,20230426,-120312,439716,-236266,-47206,41890,5053,12971,-6448,-6950,-83388,250,-235576
A000660,SK하이닉스,20230425,475857,-288557,-98458,-84902,-4049,-64911,14172,-7225,40626,-89879,1037,7831
A000660,SK하이닉스,20230428,-932765,453058,475380,-313793,87621,235073,-831,2542,442770,5136,-809,21998
A000660,SK하이닉스,20230427,-276213,-44623,310444,-175873,50570,129714,-743,2295,241334,9883,509,63147
A000660,SK하이닉스,20230502,-204319,11169,191309,48837,-7163,39754,1734,778,78924,668,1173,28445
A000660,SK하이닉스,20230504,252392,-78185,-166432,-263561,-10280,-37673,1242,7558,116687,-9581,1806,19595
A000660,SK하이닉스,20230503,-143724,116833,36566,-79254,11076,26192,197,-2442,54879,-9208,-467,25918
A000660,SK하이닉스,20230508,344038,-289307,-64441,104789,-4697,-34181,3800,1701,52018,9439,271,-187871
A000660,SK하이닉스,20230510,807115,-232176,-583504,-195849,-28772,-117530,13612,1,-80681,-417,8982,-174285
A000660,SK하이닉스,20230509,587487,-337990,-259168,-58149,-11742,-107952,13578,0,-11818,6828,2843,-83085
A000660,SK하이닉스,20230512,96077,-221912,113437,90888,69833,47870,11088,-2900,-99724,11298,1100,-3618
A000660,SK하이닉스,20230511,448628,-433739,-20956,136936,-10359,-30146,11898,-5000,-75348,4105,1962,-48937
A000660,SK하이닉스,20230516,-2135661,2202895,-47397,-289417,20966,82847,1240,-712,-16175,-10984,-8853,153854
A000660,SK하이닉스,20230515,291135,-209681,-84239,-87456,-4699,-14625,3993,-699,-22406,998,1787,41653
A000660,SK하이닉스,20230518,-1920220,2264724,-323757,-362371,18006,43835,-4317,3457,163816,-14785,-5962,-186183
A000660,SK하이닉스,20230517,-923364,1130170,-192432,-208696,1044,-11251,-3464,1490,44630,-11210,-3164,-16185
A000660,SK하이닉스,20230519,-1181487,237799,935254,471353,27465,151349,-10180,6083,216450,10695,-2261,72734
A000660,SK하이닉스,20230522,-465857,484616,-46749,9006,15719,172,942,87,28785,34756,-6766,-101460
A000660,SK하이닉스,20230524,-186873,162515,28780,190974,-16318,-115903,-2547,-6599,262531,-2413,-2009,-283358
